,album,artist,artist_uri,duration_ms,explicit,popularity,song,song_uri
0,Paris,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,221520,False,73,Paris,spotify:track:15vzANxN8G9wWfwAJLLMCg
1,Bouquet,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,225813,False,62,Roses (feat. ROZES),spotify:track:3FWPoYBDserKdzcattMFGa
2,Dreamer (Remixes),Axwell /\ Ingrosso,spotify:artist:2XnBwblw31dfGnspMIwgWz,250809,False,61,Dreamer - Matisse & Sadko Remix,spotify:track:6Bz6Rsp8GyeK4yL7APYYX3
3,World War Joy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,217640,False,82,Call You Mine,spotify:track:2oejEp50ZzPuQTQ6v54Evp
4,World War Joy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,209880,False,83,Takeaway,spotify:track:3g0mEQx3NTanacLseoP0Gw
5,World War Joy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,182933,False,65,The Reaper,spotify:track:0g8Dq6OpSmWengqtLrVr77
6,World War Joy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,194826,False,75,Family,spotify:track:3TKpJrY9q49Mj1JOsM9zGL
7,World War Joy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,181853,False,71,Push My Luck,spotify:track:4h8Pmw3RELdsanPjssyJoB
8,Don't Hide,Mike Perry,spotify:artist:6lB8vOoI4DRrrVxXwuV19c,157338,False,55,Don't Hide,spotify:track:5Ddp5V1M84fKmXbtDhASu0
9,World War Joy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,177960,False,61,See The Way,spotify:track:6VWz99969QmNc2gWo21ktl
10,Native,OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,214813,False,58,If I Lose Myself - Alesso vs OneRepublic,spotify:track:1hZk9dktp4yRFTm0TrycuH
11,Sick Boy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,180120,False,70,Hope,spotify:track:4BiiOzZCrXEzHRLYcYFiD5
12,Tired,Alan Walker,spotify:artist:7vk5e3vY1uw9plTHJAMwjN,192111,False,67,Tired,spotify:track:3b5Li4QKDVBx1x7fQuu54a
13,World War Joy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,193186,False,66,Do You Mean,spotify:track:5vDCp6yZAikAoJ6NOEEFdp
14,World War Joy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,225360,False,60,P.S. I Hope You're Happy,spotify:track:5GemR0Lr9CEUJVH14mAsDO
15,Different World,Alan Walker,spotify:artist:7vk5e3vY1uw9plTHJAMwjN,212106,False,79,Faded,spotify:track:698ItKASDavgwZ3WjaWjtz
16,Feelings,Joakim Lundell,spotify:artist:0XNvr6bnNywV946ZKaJtr0,207375,False,50,Grow,spotify:track:6B1iDt4SJmWFUeC61V4W7S
17,Sick Boy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,206120,False,64,Beach House,spotify:track:2bQhVQbV7VBzSOPo8mbkUR
18,Gravity Pt. 1,Gryffin,spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh,254556,False,54,Just For A Moment (feat. Iselin),spotify:track:66U2Ud0RBGfQ0ZQrI2m8FC
19,Rich Love,OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,201256,False,67,Rich Love (with Seeb),spotify:track:7dOeiXeTSfA1ixaYmQcWu7
20,More Than You Know,Axwell /\ Ingrosso,spotify:artist:2XnBwblw31dfGnspMIwgWz,203000,False,80,More Than You Know,spotify:track:6h5PAsRni4IRlxWr6uDPTP
21,I Won't Give Up,Jason Mraz,spotify:artist:4phGZZrJZRo4ElhRtViYdl,240165,False,68,I Won't Give Up,spotify:track:05pKAafT85jeeNhZ6kq7HT
22,Diamond Heart,Alan Walker,spotify:artist:7vk5e3vY1uw9plTHJAMwjN,239834,False,66,Diamond Heart,spotify:track:4J4zx8xGJpuGndrVc06KaT
23,The Days / Nights,Avicii,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,278480,False,67,The Days,spotify:track:5Iy2Jj87Ha0C0IBlNE1I4y
24,We Sing. We Dance. We Steal Things.,Jason Mraz,spotify:artist:4phGZZrJZRo4ElhRtViYdl,191360,False,75,Lucky,spotify:track:0IktbUcnAGrvD03AWnz3Q8
25,Evolve,Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,201240,False,80,Whatever It Takes,spotify:track:6Qn5zhYkTa37e91HC1D7lb
26,Sunrise,ARTY,spotify:artist:1rSGNXhhYuWoq9BEz5DZGO,198223,False,53,Sunrise,spotify:track:7vLIj2GVAeYrohv8p0JjF0
27,Sick Boy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,223466,False,64,Everybody Hates Me,spotify:track:6ufrOaf4v6Qady6GiIpQ0s
28,Modern Alchemy,Zayde Wølf,spotify:artist:7LIy7KinYq7a83dUH6kvxT,237067,False,32,Won't Ever Let You Go,spotify:track:22XrlIZYjtdixS9M9kA7A3
29,The Wave,R3HAB,spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ,160183,False,65,Lullaby,spotify:track:4BLEnHP1FInl1u3xAbgI4n
30,Sick Boy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,221986,False,67,Somebody,spotify:track:0fTiDOXRNEN0lUeYGoSHml
31,Dying For You (feat. Lindsey Stirling & Alex Aris) [Remixes],Otto Knows,spotify:artist:5fahUm8t5c0GIdeTq0ZaG8,184180,False,30,Dying for You (feat. Lindsey Stirling & Alex Aris) - Didrick Remix,spotify:track:0LyG1HyCssasHmQEdkeYEm
32,We Sing. We Dance. We Steal Things.,Jason Mraz,spotify:artist:4phGZZrJZRo4ElhRtViYdl,242186,False,82,I'm Yours,spotify:track:1EzrEOXmMH3G43AXT1y7pA
33,World War Joy,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,213320,True,63,Kills You Slowly,spotify:track:2PgMUAn2bBpm8gz6yAXvVL
34,Youngblood (Deluxe),5 Seconds of Summer,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,203417,False,82,Youngblood,spotify:track:2iUXsYOEPhVqEBwsqP70rE
35,One Call Away,Charlie Puth,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,192075,False,60,One Call Away,spotify:track:2uEJanMvnA1dXgX1ASnPQm
36,x (Deluxe Edition),Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,281560,False,82,Thinking out Loud,spotify:track:34gCuhDGsG4bRPIf9bb02f
37,Getaway,Syn Cole,spotify:artist:6i1GVNJCyyssRwXmnaeEFH,194181,False,54,Getaway,spotify:track:4IXAvmNBFinLJJAuqpBK7Y
38,Dying For You (feat. Lindsey Stirling & Alex Aris) [Remixes],Otto Knows,spotify:artist:5fahUm8t5c0GIdeTq0ZaG8,347704,False,38,Dying for You (feat. Lindsey Stirling & Alex Aris) - David K. Remix,spotify:track:6XiJtaRY4n8S3iaGOzu0WU
